STATE,Conductivity_Min_Log,Conductivity_Max_Log,Temperature_Avg,Temperature_Range,pH_Avg,pH_Range,Conductivity_Log_Avg,Conductivity_Log_Range
ANDHRA PRADESH,6.734591659972948,7.301147805856032,29.5,1.0,7.35,0.10000000000000053,7.01786973291449,0.5665561458830837
ANDHRA PRADESH,6.569481420414296,7.038783541388542,29.5,3.0,7.75,0.6999999999999993,6.804132480901419,0.4693021209742456
ANDHRA PRADESH,6.898714534329988,7.155396301896734,28.0,2.0,7.75,0.09999999999999964,7.0270554181133615,0.25668176756674566
ANDHRA PRADESH,8.114025442356757,8.357259153499912,26.0,0.0,7.05,0.09999999999999964,8.235642297928335,0.24323371114315506
ANDHRA PRADESH,7.886457270977689,8.279189777195004,26.0,2.0,8.0,0.1999999999999993,8.082823524086347,0.3927325062173148
ANDHRA PRADESH,7.616775808698373,7.62608275807238,25.5,3.0,7.65,0.2999999999999998,7.6214292833853765,0.009306949374007445
ANDHRA PRADESH,6.493753839851686,7.301822342137932,26.0,2.0,7.95,0.09999999999999964,6.897788090994808,0.8080685022862459
ANDHRA PRADESH,9.316590491818841,9.343209045050607,26.0,2.0,7.5,0.1999999999999993,9.329899768434725,0.02661855323176532
ANDHRA PRADESH,7.368339686311381,8.083328608786376,27.0,2.0,7.0,0.1999999999999993,7.725834147548879,0.714988922474995
ANDHRA PRADESH,8.177234885510194,8.237743803890933,27.0,2.0,7.05,0.09999999999999964,8.207489344700562,0.06050891838073902
ANDHRA PRADESH,7.5480289699350145,7.560601162768557,27.0,0.0,8.1,0.0,7.554315066351785,0.012572192833542495
ANDHRA PRADESH,7.5352967024440884,7.91644286012226,28.5,1.0,7.199999999999999,0.20000000000000018,7.7258697812831745,0.38114615767817117
ANDHRA PRADESH,8.797850648931053,8.958154135209242,25.0,4.0,7.25,0.09999999999999964,8.878002392070147,0.16030348627818825
ANDHRA PRADESH,6.955592608396297,6.955592608396297,28.0,0.0,7.6,0.0,6.955592608396297,0.0
ANDHRA PRADESH,7.039660349862076,7.039660349862076,24.0,0.0,7.1,0.0,7.039660349862076,0.0
ANDHRA PRADESH,9.115040192121858,9.259225769705994,22.5,1.0,7.25,0.09999999999999964,9.187132980913926,0.14418557758413542
ANDHRA PRADESH,7.537962659768208,7.58629630715272,25.0,0.0,7.449999999999999,0.7000000000000002,7.562129483460464,0.048333647384511735
ANDHRA PRADESH,5.739792912179234,7.277938572945661,25.0,2.0,7.3,0.5999999999999996,6.508865742562447,1.5381456607664274
ANDHRA PRADESH,7.2305631534092925,7.254884810077338,27.0,0.0,7.2,0.5999999999999996,7.242723981743316,0.024321656668045755
ANDHRA PRADESH,6.93537044601511,7.144407180321139,28.5,1.0,7.3,0.0,7.039888813168124,0.20903673430602865
ANDHRA PRADESH,8.416488487294606,8.641885635373555,24.5,3.0,7.85,0.10000000000000053,8.529187061334081,0.22539714807894917
ANDHRA PRADESH,6.985641817639208,7.00397413672268,20.5,1.0,8.1,0.0,6.994807977180944,0.01833231908347166
ANDHRA PRADESH,7.484930283289661,7.640603826393634,25.0,0.0,7.550000000000001,0.7000000000000002,7.562767054841648,0.15567354310397263
ANDHRA PRADESH,8.25608813381491,8.258681496264236,26.0,0.0,7.35,0.5,8.257384815039572,0.0025933624493266194
ANDHRA PRADESH,6.7580945044277305,6.802394763324311,22.0,0.0,7.3,0.40000000000000036,6.780244633876021,0.0443002588965804
ANDHRA PRADESH,8.400884069015854,8.429672593886743,21.5,1.0,7.6,1.0,8.415278331451297,0.028788524870888565
ANDHRA PRADESH,7.941295570906532,8.117610746466228,24.5,1.0,7.35,0.10000000000000053,8.02945315868638,0.17631517555969634
ANDHRA PRADESH,7.384610383176974,7.592870287844818,27.0,0.0,7.15,0.8999999999999995,7.4887403355108955,0.20825990466784372
ANDHRA PRADESH,7.687538766201629,7.687538766201629,27.5,1.0,7.550000000000001,0.7000000000000002,7.687538766201629,0.0
ANDHRA PRADESH,7.045776576879511,7.16703787691222,28.5,3.0,7.5,0.40000000000000036,7.106407226895866,0.12126130003270852
ANDHRA PRADESH,7.589841512182657,7.855932199718614,26.5,1.0,7.15,0.7000000000000002,7.722886855950636,0.2660906875359572
ANDHRA PRADESH,7.02197642307216,7.0825485693553,27.5,1.0,7.65,0.5,7.05226249621373,0.060572146283139894
ANDHRA PRADESH,7.37650812632622,7.6783263565068856,25.0,0.0,7.55,1.0999999999999996,7.527417241416552,0.30181823018066556
ASSAM,5.6240175061873385,5.631211781821365,25.5,1.0,7.1,0.20000000000000018,5.6276146440043515,0.007194275634026859
ASSAM,5.720311776607412,5.799092654460526,30.5,1.0,7.45,0.09999999999999964,5.759702215533968,0.07878087785311383
ASSAM,5.905361848054571,5.968707559985366,28.0,2.0,7.4,0.39999999999999947,5.937034704019968,0.06334571193079519
